# \beta = 8.0, nmeas = 500, term = 500
"{/Symbol k} = 0.24"
 16  16  0.0625  0.2216  0.17667E+01  0.614E-03
 32   8  0.125   0.4431  0.17529E+01  0.359E-02
 64   4  0.25    0.8862  0.16733E+01  0.889E-03
128   2  0.5     1.7725  0.15500E+01  0.533E-02
 
